priority,category,finding,recommendation
High,Bottleneck,"W_Completeren aanvraag → O_SENT_BACK takes 128.94 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → O_SENT_BACK takes 86.31 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → W_Nabellen offertes takes 74.66 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Completeren aanvraag → W_Nabellen offertes takes 74.52 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → A_APPROVED takes 74.06 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → A_REGISTERED takes 69.28 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → O_ACCEPTED takes 68.01 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → O_DECLINED takes 66.82 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → A_DECLINED takes 64.13 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → A_ACTIVATED takes 62.13 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → W_Valideren aanvraag takes 60.02 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → A_CANCELLED takes 56.99 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → O_CANCELLED takes 56.10 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen offertes → O_SELECTED takes 51.25 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Nabellen incomplete dossiers → O_SENT_BACK takes 44.01 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Completeren aanvraag → O_CANCELLED takes 40.74 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"A_PARTLYSUBMITTED → W_Beoordelen fraude takes 34.09 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Completeren aanvraag → W_Completeren aanvraag takes 33.99 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,Bottleneck,"W_Completeren aanvraag → A_CANCELLED takes 31.76 hours on average, well above the process's typical pace (~26.10h).",Review the handover between teams and check whether capacity planning can reduce waiting time.
High,SLA,W_Completeren aanvraag → A_CANCELLED overshoots its own historical p90 duration by 182.16 hours on average across 99 occurrence(s).,"Investigate why this specific step occasionally runs far longer than its own normal pace, rather than just how often it happens."
High,SLA,W_Completeren aanvraag → W_Completeren aanvraag overshoots its own historical p90 duration by 181.16 hours on average across 1262 occurrence(s).,"Investigate why this specific step occasionally runs far longer than its own normal pace, rather than just how often it happens."
Low,Conformance,All 13087 case(s) conform to the checked precedence rules.,No ordering violations detected; continue monitoring as new data arrives.
